,Latitude,Longitude,Country,Objective,Wind,Solar,SolarTracking,Grid,RampDummy,Electrolysis,HydrogenCompression,HydrogenFromStorage,HB,BatteryInterfaceIn,BatteryInterfaceOut,HydrogenFuelCell,PenaltyLink,Ammonia,CompressedH2Store,Battery,AccumulatedPenalty,Hydrogen Storage (t)
-61_-5,-61,-5,None,0.0,31111.956678028786,1901472.1831074872,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,263.43519492923076,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-61_-4,-61,-4,None,0.0,111091.25241512709,4754668.723973601,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,228.310502272,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-61_-3,-61,-3,None,0.0,33186.10153475774,11784448.631660366,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,228.310502272,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-61_-2,-61,-2,None,0.0,27591.072823620543,142141930.3004611,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,228.310502272,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-61_-1,-61,-1,None,0.0,34883.64948202497,191939.99264715266,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,228.310502272,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-60_-5,-60,-5,None,0.0,33303.28495182446,18878724.93036532,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,228.310502272,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-60_-4,-60,-4,None,0.0,29658.55243762823,94244937.88219082,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,228.310502272,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-60_-3,-60,-3,None,0.0,44239.26201005343,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,263.43519492923076,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-60_-2,-60,-2,None,0.0,123116.14666172727,1910.7970411362558,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,263.43519492923076,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
-60_-1,-60,-1,None,0.0,133044.01060557933,21628.24858081512,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,263.43519492923076,1153.0833448641667,1141.552511415525,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,253807.10659898477
