,Latitude,Longitude,Country,Objective,Wind,Solar,SolarTracking,Grid,RampDummy,Electrolysis,HydrogenCompression,HydrogenFromStorage,HB,BatteryInterfaceIn,BatteryInterfaceOut,HydrogenFuelCell,PenaltyLink,Ammonia,CompressedH2Store,Battery,AccumulatedPenalty,Hydrogen Storage (t)
-65_-180,-65,-180,None,0.3055183810262141,1222.7797228848196,1601.7243816150087,0.0,0.0,0.0,1311.87579537169,184.24331286001257,514.3154272237967,138.00707975637556,0.4645096689051915,0.4598645722161395,75.82539164517533,1000000.0,15701.516323848095,4028.4136526133825,1.8394582888645583,10000000.0,102.24400133536504
-65_-179,-65,-179,None,0.30525952347394275,1211.7341267200895,1651.6204078421313,0.0,0.0,0.0,1294.7076434586288,164.6773208187791,522.9018316925914,138.6199214333519,0.45840737142742505,0.4538232977131508,76.17692507020615,1000000.0,15850.88045981811,3975.492087967201,1.8152931908526033,10000000.0,100.90081441541119
-65_-178,-65,-178,None,0.3039116325415534,1200.7107839626285,1655.2683687179974,0.0,0.0,0.0,1288.4719569884062,158.53050034407,516.2383443705318,138.70717878514876,0.45288430119580986,0.4483554581838517,76.23542411121132,1000000.0,15591.52358436624,3927.593813690541,1.793421832735407,10000000.0,99.68512217488683
-65_-177,-65,-177,None,0.30255567460273514,1190.4183098407796,1673.2974048807123,0.0,0.0,0.0,1275.9732507867475,149.31394862625532,467.5935185220728,138.44439506657992,0.44687901715849404,0.44241022698690907,76.10033652953679,1000000.0,14614.630222331816,3875.5135884053234,1.7696409079476363,10000000.0,98.3632890458204
-65_-176,-65,-176,None,0.30246191346971096,1199.6361264991224,1614.335330101681,0.0,0.0,0.0,1274.4778911427863,146.25010651163998,420.94625913978973,138.68948707641476,0.4576213042486701,0.45304509120618336,76.2169982395348,1000000.0,14705.451568808892,3968.674998966166,1.8121803648247334,10000000.0,100.72779185193316
-65_-175,-65,-175,None,0.30271483929904464,1204.5054769851956,1597.3057814713936,0.0,0.0,0.0,1268.0108831213147,142.63451064164974,469.4099265935915,138.39091628233007,0.47194405729802047,0.4672246167250402,76.02513515168674,1000000.0,14823.708721088513,4092.887642511352,1.8332937469541333,10000000.0,103.88039701805462
-65_-174,-65,-174,None,0.30259495305997647,1225.934468504073,1515.9142511892796,0.0,0.0,0.0,1253.5259962215312,133.19460135762506,535.6763220104389,137.91135179242033,0.4890291691521154,0.48413887746059425,75.72770928521248,1000000.0,14675.611962917084,4241.056566554806,1.7677806057607648,10000000.0,107.64102960798999
-65_-173,-65,-173,None,0.3023500764175527,1191.8603461401435,1559.4086570500235,0.0,0.0,0.0,1291.746165777609,163.29247538498703,447.4806471125222,138.4450016950278,0.49343519510659456,0.48850084315552855,76.01617643891389,1000000.0,14905.880401252152,4279.26738604243,1.5371643365235341,10000000.0,108.61084736148301
-65_-172,-65,-172,None,0.3010852065589996,1192.5021119642067,1550.8737607976395,0.0,0.0,0.0,1290.660053283288,162.8331390865684,415.49978398183754,138.37400450717104,0.47018660484989805,0.465484738801399,76.01892967099448,1000000.0,14519.870721792584,4077.6463119002556,1.3964542164041973,10000000.0,103.49356121574253
-65_-171,-65,-171,None,0.2994726331806266,1196.2780031349268,1539.0134698215397,0.0,0.0,0.0,1288.6091796420499,165.20439969786383,404.7354420125004,137.78328563020688,0.44180869052489746,0.43739060361964843,75.7422661784201,1000000.0,14130.634410461424,3831.54168770812,1.3121718108589455,10000000.0,97.2472509570589
-64_-180,-64,-180,None,0.29224397584525047,1278.894242695612,1175.5609459679401,0.0,0.0,0.0,1207.7893523907596,115.93652081660002,542.1009795466543,134.62767163529043,0.41744315688985323,0.41326872532095466,74.0334185849754,1000000.0,21535.399016371604,3620.2340338115628,0.8265374506419093,10000000.0,91.8841125332884
-64_-179,-64,-179,None,0.29217981581200353,1284.296170460434,1179.982324690094,0.0,0.0,0.0,1196.7293743747957,108.36383330307797,518.1213063945826,134.3129393953995,0.4150524141668997,0.41090189002523064,73.862911312971,1000000.0,20240.753323158242,3599.5005566210207,0.8218037800504614,10000000.0,91.35788214774165
-64_-178,-64,-178,None,0.2922969367197087,1291.1053736323818,1150.0593635597154,0.0,0.0,0.0,1193.4826480341248,104.96476454602237,510.22124786357995,134.38637665901118,0.42251882764609094,0.41829363936963,73.89015748937624,1000000.0,19677.289521369697,3664.252280877959,0.8111440367427346,10000000.0,93.00132692583652
-64_-177,-64,-177,None,0.29195354970320153,1288.3174658680357,1166.9511311857873,0.0,0.0,0.0,1185.9751425323327,101.61468195035627,504.81904192943057,133.9203039592968,0.4228744226102085,0.41864567838410643,73.63059007498838,1000000.0,19215.97325408075,3667.3361426447723,0.7340407569461921,10000000.0,93.07959752905514
-64_-176,-64,-176,None,0.2913126419723141,1290.4643866398112,1124.8918936918144,0.0,0.0,0.0,1192.76421233792,106.74395654099374,512.1331600710458,134.04569820319435,0.42135581208726486,0.41714225396639215,73.70300779416658,1000000.0,19406.137909489313,3654.1661447455954,0.635280260925832,10000000.0,92.74533362298466
-64_-175,-64,-175,None,0.29055158237915474,1285.595220446705,1101.3646022153755,0.0,0.0,0.0,1195.6970183842939,109.2244579435162,484.4914359433978,134.0625421339859,0.4256762325876528,0.42141947026177623,73.70452392783407,1000000.0,19388.03182672413,3691.63455949316,0.5502596857106512,10000000.0,93.69630861657767
-64_-174,-64,-174,None,0.28985921034890105,1279.826466829556,1107.6825516383883,0.0,0.0,0.0,1182.7909001734972,100.48763751790159,439.2365611731101,133.68118739877173,0.43381192278657527,0.4294738035587095,73.47790025397792,1000000.0,18855.23740341838,3762.1905191742953,0.4294738035587095,10000000.0,95.48706901457602
-64_-173,-64,-173,None,0.2893033657044115,1258.756291666059,1156.2051194142025,0.0,0.0,0.0,1195.5713860385115,114.68240774368269,438.6158823037286,133.27724546330842,0.4328224467112807,0.4284942222441678,73.25529019994212,1000000.0,18589.86908151951,3753.60938685891,0.4284942222441678,10000000.0,95.26927377814494
-64_-172,-64,-172,None,0.2901017317865574,1226.0146894791296,1299.6184860990606,0.0,0.0,0.0,1213.2595392677804,136.3488934546881,421.5129695521195,132.4332267004467,0.4338485527654257,0.4295100672377714,72.78454168608036,1000000.0,18040.42776363558,3762.5081890028778,0.4295100672377714,10000000.0,95.49513170058066
