,Latitude,Longitude,Country,Objective,Wind,Solar,SolarTracking,Grid,RampDummy,Electrolysis,HydrogenCompression,HydrogenFromStorage,HB,BatteryInterfaceIn,BatteryInterfaceOut,HydrogenFuelCell,PenaltyLink,Ammonia,CompressedH2Store,Battery,AccumulatedPenalty,Hydrogen Storage (t)
-65_-160,-65,-160,None,0.3010033555697508,1011.7225475340812,2099.607161449414,0.0,0.0,0.0,1454.1208791408428,318.76581892976026,393.28580623612027,136.81968857009298,0.4226015511647537,0.4183755356531061,75.24180944947625,1000000.0,16049.105282557684,3664.9696923212095,1.2083304625827582,10000000.0,93.01953533810178
-65_-159,-65,-159,None,0.30067111020800913,1065.684786020274,1962.115837095284,0.0,0.0,0.0,1407.6517374833616,281.4003710096338,364.8866281677662,136.27966345555674,0.4246884953419203,0.4204416103885011,74.93801619972373,1000000.0,15211.63551558759,3683.0685070032696,1.0866434279132675,10000000.0,93.47889611683426
-65_-158,-65,-158,None,0.29979347416939134,1091.0461524338068,1950.4112578365466,0.0,0.0,0.0,1357.0006326431394,238.27187520783082,364.2582488992408,136.02950022013817,0.4010824817809301,0.39707165696312074,74.8418842308749,1000000.0,14423.465583548963,3478.3477149969376,0.7941433139262415,10000000.0,88.28293692885629
-65_-157,-65,-157,None,0.29946234471005284,1092.132667671225,2028.780441547615,0.0,0.0,0.0,1330.139087936209,206.1428026184309,367.4948526941122,137.20209963874052,0.3512985033432396,0.34778551830980714,75.58366550272788,1000000.0,14220.091248323766,3046.6011403939106,0.6955710366196143,10000000.0,77.32490204045459
-65_-156,-65,-156,None,0.29973923125924656,1165.449239518916,1788.9384428476847,0.0,0.0,0.0,1311.2170306936987,180.64183179698523,370.81584031056,138.4325563970948,0.34055447257255456,0.337148927846829,76.28673332010115,1000000.0,15794.630212696402,2953.424607938222,0.7727635492429515,10000000.0,74.96001542990412
-65_-155,-65,-155,None,0.30089623219650014,1213.5211885494734,1544.2508746896092,0.0,0.0,0.0,1333.7726605688952,184.6619106335944,376.82427836787247,140.6851913386361,0.3602227145971691,0.35662048745119734,77.50246527579039,1000000.0,17808.01394114768,3123.995470072489,1.0354709804139537,10000000.0,79.28922512874337
-65_-154,-65,-154,None,0.30124588461777135,1224.239858676246,1546.4549145111976,0.0,0.0,0.0,1323.6111003249082,182.55945531089344,374.20357213176806,139.71143810728728,0.36462503672895036,0.36097878636166086,76.95351641470369,1000000.0,18295.77007303865,3162.174168528149,1.0829363590849828,10000000.0,80.258227627618
-65_-153,-65,-153,None,0.3006630792580475,1225.015703109881,1569.112373265784,0.0,0.0,0.0,1301.945306662792,170.42645818459596,371.5238662497681,138.7139873142317,0.36650154167925425,0.3628365262624617,76.39598684000879,1000000.0,18249.20204585747,3178.4479700591646,1.088509578787356,10000000.0,80.67126827561331
-65_-152,-65,-152,None,0.29985414091487267,1204.779295655467,1584.4200395226135,0.0,0.0,0.0,1315.2915268631882,177.08548403991244,373.48871467606784,139.4433325860552,0.3621416655204861,0.3585202488652812,76.80908026597685,1000000.0,18302.203785390742,3140.6373800598635,1.0755607465958437,10000000.0,79.71160863096101
-65_-151,-65,-151,None,0.2991393428796474,1218.7325385086556,1506.2148238740983,0.0,0.0,0.0,1311.825924077463,171.50679133899735,374.4408436794688,139.79674560191555,0.3600080498424136,0.3564079693439894,77.00928773683327,1000000.0,18710.701482626635,3122.1338114533473,1.0692239080319643,10000000.0,79.24197490998344
