,Latitude,Longitude,Country,Objective,Wind,Solar,SolarTracking,Grid,RampDummy,Electrolysis,HydrogenCompression,HydrogenFromStorage,HB,BatteryInterfaceIn,BatteryInterfaceOut,HydrogenFuelCell,PenaltyLink,Ammonia,CompressedH2Store,Battery,AccumulatedPenalty,Hydrogen Storage (t)
-65_-120,-65,-120,None,0.2942582973519438,1178.4955255660086,1652.161175185736,0.0,0.0,0.0,1271.0442531569151,158.99207806148138,449.798286404962,136.46360974084988,0.32579828009313505,0.3225402972922037,75.21968643413129,1000000.0,13417.288844128178,2825.453004279704,1.2901611891688147,10000000.0,71.71200518476407
-65_-119,-65,-119,None,0.2930654858335048,1133.4082182617005,1783.9718964632016,0.0,0.0,0.0,1288.526504308931,183.91729877572186,362.0018626934002,135.1343584596496,0.3209675898605557,0.31775791396195013,74.49000163464976,1000000.0,13123.960520356391,2783.559326306683,1.2710316558478005,10000000.0,70.64871386565186
-65_-118,-65,-118,None,0.29217141173184535,1110.7519659320071,1803.034091051553,0.0,0.0,0.0,1318.795506098942,214.61600276312447,360.5396456341931,134.58938305593082,0.3209520271510271,0.31774250687951683,74.18727424439471,1000000.0,12893.218810175165,2783.4243602645674,1.2709700275180673,10000000.0,70.645288331588
-65_-117,-65,-117,None,0.2919765831965768,1101.4152951599885,1826.8924846168989,0.0,0.0,0.0,1327.331977375551,224.6746878209102,359.5982749617907,134.23813833025443,0.32036352535676954,0.31715989010320184,73.99321185034135,1000000.0,12487.903749707182,2778.320637304048,1.2686395604128073,10000000.0,70.51575221583879
-65_-116,-65,-116,None,0.29163660264168934,1119.0222006610709,1775.163743506695,0.0,0.0,0.0,1304.3201180817343,204.33038880658398,359.5711011901066,134.23025363597708,0.3236793389051741,0.3204425455161223,73.98281355420181,1000000.0,12573.420753347315,2807.0766987212314,1.2817701820644893,10000000.0,71.24560149038659
-65_-115,-65,-115,None,0.29188093586039604,1129.059625930962,1748.492493585301,0.0,0.0,0.0,1300.3428178427039,199.01141849817247,360.250165485948,134.48308194779204,0.3232988658397393,0.3200658771813419,74.12396033382566,1000000.0,12791.212021055935,2803.777084108555,1.2802635087253675,10000000.0,71.16185492661307
-65_-114,-65,-114,None,0.2924477805705362,1139.565996782287,1715.7523406745536,0.0,0.0,0.0,1310.3775020307476,205.64418567902885,363.9359714077951,134.80218365537937,0.3209442893270183,0.31773484643374805,74.3055075331697,1000000.0,12887.385535345415,2783.357254759633,1.2709393857349922,10000000.0,70.64358514618358
-65_-113,-65,-113,None,0.29268295377063763,1135.1656706404608,1725.0244153323895,0.0,0.0,0.0,1321.50282649158,215.26742758999336,370.0808510062376,134.83594801670915,0.32110533318868556,0.3178942798567987,74.32397270003817,1000000.0,12563.113177864429,2784.7538915455566,1.271577119427195,10000000.0,70.67903278034407
-65_-112,-65,-112,None,0.29252169614337103,1127.6019997079618,1754.4885807554456,0.0,0.0,0.0,1315.7008403752563,210.50526327260778,377.5691602940626,134.7821764699161,0.32159774754899073,0.31838177007350077,74.29320674789331,1000000.0,12325.829447139544,2789.024305843867,1.273527080294003,10000000.0,70.78741893004738
-65_-111,-65,-111,None,0.2918222649727989,1118.3387406224251,1758.7888980163061,0.0,0.0,0.0,1323.815453286428,220.3821109321791,387.2306274373166,134.40383871229415,0.32138678891447814,0.31817292102533334,74.08340786922471,1000000.0,12270.725089465854,2787.19478818192,1.316984972397525,10000000.0,70.74098447162234
-65_-110,-65,-110,None,0.2909952747070078,1067.7709999705728,1907.862437948198,0.0,0.0,0.0,1354.3811103666665,256.26671186774183,356.7278859150904,133.16471364649158,0.3149861520403665,0.3118362905199628,73.40664116081491,1000000.0,11586.247490416898,2731.6859049548743,1.4741923456395718,10000000.0,69.3321295673826
-65_-109,-65,-109,None,0.2905472714150397,1052.0406134133352,1909.5846225385692,0.0,0.0,0.0,1378.688437558326,278.6647709902419,356.3982178964758,133.04494516362593,0.31956612132548357,0.3163704601122287,73.33179256634529,1000000.0,11997.490288871153,2771.4052305831233,1.411629097652248,10000000.0,70.34023427875948
-65_-108,-65,-108,None,0.2904127512454505,1067.802016337336,1847.4821553854981,0.0,0.0,0.0,1370.3205777800995,270.1375781780699,356.8103650070358,133.2013200842344,0.3236591802404209,0.32042258843801663,73.41123639581875,1000000.0,13103.770690102447,2806.9018747170257,1.2816903537520667,10000000.0,71.24116433291944
