,Latitude,Longitude,Country,Objective,Wind,Solar,SolarTracking,Grid,RampDummy,Electrolysis,HydrogenCompression,HydrogenFromStorage,HB,BatteryInterfaceIn,BatteryInterfaceOut,HydrogenFuelCell,PenaltyLink,Ammonia,CompressedH2Store,Battery,AccumulatedPenalty,Hydrogen Storage (t)
-65_-140,-65,-140,None,0.29646219769088566,1199.616546306217,1570.109062208754,0.0,0.0,0.0,1287.7062982447046,165.30610486910462,632.0130536101,137.65608349623747,0.3497891082539525,0.3462912171714129,75.83861117030129,1000000.0,15900.242167956809,3033.511062421577,1.3501145687615574,10000000.0,76.99266655892328
-65_-139,-65,-139,None,0.295903905603723,1187.39800048969,1606.7902285911887,0.0,0.0,0.0,1288.1421188433324,167.75283805371726,604.9425210522345,137.36556257684367,0.3451102212130985,0.34165911900096746,75.68570712093941,1000000.0,15542.649351992839,2992.933882448475,1.3666364760038698,10000000.0,75.96278889463134
-65_-138,-65,-138,None,0.29513907159113245,1187.5767097814771,1594.9218854338883,0.0,0.0,0.0,1288.022909086211,170.99166186371596,629.0415773001242,136.893974263745,0.3405130562414997,0.33710792567908465,75.4320645702761,1000000.0,15516.29426458063,2953.0654289487816,1.3484317027163388,10000000.0,74.95089921189802
-65_-137,-65,-137,None,0.2942324700867073,1175.7001335405712,1625.514331754307,0.0,0.0,0.0,1284.5787503904482,171.13388427099233,562.8239634153265,136.44339620059804,0.33590725383436915,0.3325481812960254,75.19010973037749,1000000.0,15117.048012764784,2913.1220681531827,1.3301927251841017,10000000.0,73.93710832876098
-65_-136,-65,-136,None,0.29347122071313464,1149.2691525377695,1688.9171011014987,0.0,0.0,0.0,1298.2067167824157,185.70480602011037,364.55307463342467,136.0923515404868,0.33155610391088114,0.3282405428717723,75.00298749588498,1000000.0,14926.269115116897,2875.3871555567252,1.3129621714870892,10000000.0,72.97936943037374
-65_-135,-65,-135,None,0.29287356052921737,1155.0091515072604,1681.622465772243,0.0,0.0,0.0,1276.030012084714,165.81461402191684,364.64812613173865,136.12483133253812,0.3272013433718522,0.32392932993813367,75.02893498863058,1000000.0,14407.01269582051,2837.620930258051,1.2957173197525347,10000000.0,72.02083579335155
-65_-134,-65,-134,None,0.2929814043625174,1151.239281704851,1703.8406984996336,0.0,0.0,0.0,1276.248731559854,166.53742615913518,364.45121940337725,136.0502521752427,0.3254384335452129,0.32218404920976074,74.99070287533095,1000000.0,14502.120940260853,2822.332271077504,1.288736196839043,10000000.0,71.63279875831229
-65_-133,-65,-133,None,0.29363034193505283,1164.8728466263115,1675.808484019263,0.0,0.0,0.0,1274.7105571413642,166.69124667693688,422.42733340113955,135.83628914988378,0.33168415859348616,0.32836731700755123,74.8605021826682,1000000.0,14257.315496559037,2876.497696986149,1.313469268030205,10000000.0,73.00755576106978
-65_-132,-65,-132,None,0.2946948613970207,1165.585300951276,1704.9972668911237,0.0,0.0,0.0,1273.8673343646617,166.80113957267383,506.77029683412184,135.71538991658875,0.3396834395949155,0.33628660519896625,74.77881953410933,1000000.0,13707.294749115481,2945.8706615429446,1.3451464207958652,10000000.0,74.76829090210519
-65_-131,-65,-131,None,0.2951654355873162,1180.753518681008,1659.9717444153794,0.0,0.0,0.0,1279.2226829088213,166.65927223371466,760.357651959428,136.4048190337625,0.331227227792955,0.32791495551502536,75.17717258053992,1000000.0,14020.671783770775,2872.5350103116225,1.3116598220600888,10000000.0,72.90697995714778
-65_-130,-65,-130,None,0.2958057087615859,1191.1464186495944,1659.238546005228,0.0,0.0,0.0,1272.721454619106,158.89997125113996,803.1731734936694,136.68624944405255,0.3255732251478397,0.3223174928963613,75.34378015813692,1000000.0,14080.007703679636,2823.501237772125,1.2892699715854452,10000000.0,71.66246796375952
